"","workerID","cluster","lon","lat"
"1",1,0,-72.3440090448094,18.5548731908728
"2",1,0,-72.3439728349877,18.5547752935838
"3",1,0,-72.3437917858791,18.5549126040513
"4",1,0,-72.3438092202377,18.5548426774381
"5",1,0,-72.3439111441803,18.5547536798891
"8",1,0,-72.3437005907726,18.5547104524913
"9",1,0,-72.3435959846211,18.5546532397423
"10",1,0,-72.3436120778752,18.5547549512829
"11",1,0,-72.343579891367,18.5548108926045
"12",1,0,-72.343577209158,18.5548909903739
"13",1,0,-72.3435986668301,18.5549469316509
"16",1,0,-72.3433948189449,18.5546087409241
"17",1,0,-72.3433867723179,18.5547295234035
"18",1,0,-72.3433787256909,18.5547816505523
"21",1,0,-72.3436134189797,18.5543837038663
"22",1,0,-72.3437502116394,18.5544040462114
"23",1,0,-72.3438253134918,18.5544460022905
"24",1,0,-72.3438910276127,18.5544447308943
"25",1,0,-72.3439969748688,18.554498129526
"26",1,0,-72.3440935343933,18.5545210146487
"27",1,0,-72.3441163331699,18.5543837038663
"28",1,0,-72.3440237969589,18.5543875180562
"29",1,0,-72.3438735932541,18.5543150484336
"30",1,0,-72.3436107367706,18.5542298648029
"31",1,0,-72.3436576754284,18.5541662949015
"32",1,0,-72.3438440889549,18.55415230952
"33",1,0,-72.3441096276474,18.554234950394
"34",1,0,-72.3441444963646,18.5541294243479
"35",1,0,-72.3441069454384,18.5543188626251
"36",1,0,-72.3438668877316,18.5542591069496
"37",1,0,-72.3440063626003,18.5542133366308
"44",1,0,-72.3443188399506,18.554782921946
"45",1,0,-72.3432843356514,18.5549571027902
"46",1,0,-72.3431153564835,18.5549494744358
"47",1,0,-72.343032208004,18.5549240465853
"48",1,0,-72.3429772227192,18.5549405746885
"49",1,0,-72.3428511588955,18.5549265893705
"50",1,0,-72.3427519171619,18.5549049756949
"51",1,0,-72.3427022962952,18.5549049756949
"52",1,0,-72.3426338999653,18.5548859048024
"53",1,0,-72.342585620203,18.5548681053008
"54",1,0,-72.3425373404407,18.5548744622659
"55",1,0,-72.3424662619018,18.5548617483355
"56",1,0,-72.3423884778404,18.5548096212111
"57",1,0,-72.3425145416641,18.5546354402164
"58",1,0,-72.3425507514858,18.5547485943135
"59",1,0,-72.342408594408,18.5546354402164
"60",1,0,-72.3424407809162,18.5545566137225
"61",1,0,-72.3424273698711,18.5544383739133
"62",1,0,-72.3425520925903,18.5544256599504
"63",1,0,-72.3425936668301,18.5545032151091
"64",1,0,-72.3425091772461,18.5545464425593
"65",1,0,-72.3426848619366,18.5544561734597
"66",1,0,-72.3427505760574,18.5544841441717
"67",1,0,-72.3428766398811,18.5545438997684
"68",1,0,-72.3429678349876,18.5545438997684
"69",1,0,-72.3430255024815,18.5545261002312
"70",1,0,-72.3430751233482,18.5545083006921
"71",1,0,-72.343127426424,18.5545655134898
"72",1,0,-72.3432320325756,18.554650696953
"73",1,0,-72.3431743650818,18.5545833130229
"74",1,0,-72.3430898754978,18.5548058070306
"75",1,0,-72.3431716828728,18.5548503057974
"76",1,0,-72.3431837528133,18.5547727507964
"77",1,0,-72.3430925577068,18.5542781779122
"78",1,0,-72.3429933159733,18.5542756351173
"79",1,0,-72.3429490595245,18.5542603783472
"80",1,0,-72.3429021208668,18.5542781779122
"86",1,0,-72.3426030545616,18.5542069796412
"89",1,0,-72.3424166410351,18.5541866372726
"91",1,0,-72.3423697023773,18.5541624807067
"93",1,0,-72.343119379797,18.5540823825955
"94",1,0,-72.3430711000347,18.5541306957464
"95",1,0,-72.3431126742744,18.5541866372726
"96",1,0,-72.3430255024815,18.5541612093084
"97",1,0,-72.3429128497028,18.5540950965839
"98",1,0,-72.3428525,18.5541306957464
"99",1,0,-72.3428015380287,18.5541116247674
"100",1,0,-72.3430992632294,18.5539927773052
"101",1,0,-72.3428645699406,18.5539419213154
"102",1,0,-72.3426245122337,18.553858008899
"103",1,0,-72.3426298766518,18.5539228503153
"104",1,0,-72.3425373404407,18.5540054913003
"105",1,0,-72.3423898189449,18.5538300380844
"106",1,0,-72.3423817723179,18.5537613824291
"107",1,0,-72.3423777490044,18.5536393278626
"108",1,0,-72.3423898189449,18.5535935573776
"109",1,0,-72.3424944250965,18.5535566867002
"110",1,0,-72.3424890606785,18.5534346319874
"111",1,0,-72.3425051539326,18.553306220164
"112",1,0,-72.3426955907726,18.553292234712
"113",1,0,-72.3429329662704,18.5534079325073
"114",1,0,-72.3431046276474,18.5533825044271
"115",1,0,-72.3431783883953,18.5534092039112
"116",1,0,-72.3431381552601,18.5531701798101
"122",1,0,-72.3426915674591,18.5536380564604
"123",1,0,-72.3427961736107,18.5537410400074
"124",1,0,-72.3429128497028,18.5537550254226
"125",1,0,-72.3428229957008,18.5536596702964
"126",1,0,-72.3429544239426,18.5536558560902
"127",1,0,-72.3428337245369,18.5535783005466
"128",1,0,-72.3431086509609,18.5536444134712
"129",1,0,-72.3430389135265,18.5537435828102
"130",1,0,-72.3432052104855,18.5538516518961
"131",1,0,-72.3428431122684,18.5538516518961
"132",1,0,-72.3429249196434,18.5539025079128
"133",1,0,-72.3429718583012,18.5538338522867
"134",1,0,-72.3428055613422,18.5538007958642
"135",1,0,-72.3428954153442,18.553819866878
"136",1,0,-72.34330177001,18.5539737063108
"137",1,0,-72.343309816637,18.5539037793131
"138",1,0,-72.3433138399506,18.5538567374985
"139",1,0,-72.3433299332046,18.55380842427
"140",1,0,-72.3433352976227,18.5536876411389
"141",1,0,-72.3433420031452,18.5536126284145
"142",1,0,-72.3433420031452,18.5535643151169
"143",1,0,-72.3429799049282,18.5531600085643
"144",1,0,-72.3429141908073,18.5531485659121
"145",1,0,-72.3424810140514,18.553237564298
"146",1,0,-72.342582937994,18.5532604495897
"147",1,0,-72.3441659540367,18.5539775205099
"148",1,0,-72.3439312607479,18.5539635351129
"149",1,0,-72.3437140018177,18.5539304787156
"150",1,0,-72.3437314361763,18.5538465662936
"151",1,0,-72.3437823981476,18.5537702822378
