lon,lat,status,iteration,instance,assignID,parentID
34.1748835310746,-0.387478297800809,4,1,103,177,
34.174969361763,-0.387456840619348,4,1,103,177,
34.1751946673203,-0.3877035982029,4,1,103,177,
34.1754253372956,-0.387880619943187,4,1,103,177,
34.1752375826645,-0.387944991484197,4,1,103,177,
34.1748620734024,-0.388105920334579,4,1,103,177,
34.1748459801483,-0.388256120592169,4,1,103,177,
34.1763372883606,-0.387993270139627,4,1,103,177,
34.1764660343933,-0.388036184499788,4,1,103,177,
34.1766001448441,-0.387998634434668,4,1,103,177,
34.1766752466965,-0.388164927578945,4,1,103,177,
34.1768147215653,-0.388164927578945,4,1,103,177,
34.1760583386231,-0.388443870910388,4,1,103,177,
34.1758062109757,-0.388411685141849,4,1,103,177,
34.1757793888855,-0.388561885394007,4,1,103,177,
34.1758008465576,-0.38866380699216,4,1,103,177,
34.1761388048935,-0.388610164045913,4,1,103,177,
34.177485273819,-0.38804154879479,4,1,103,177,
34.1774638161469,-0.38784843417251,4,1,103,177,
34.1778339609909,-0.387934262894065,4,1,103,177,
34.1757096514511,-0.389430901086165,4,1,103,177,
34.1757901177216,-0.389377258144803,4,1,103,177,
34.1758920416642,-0.389361165262315,4,1,103,177,
34.1759564146805,-0.389420172497915,4,1,103,177,
34.1763104662705,-0.389387986733103,4,1,103,177,
34.1746957764435,-0.389404079615528,4,1,103,177,
34.1747279629517,-0.389618651378265,4,1,103,177,
34.1747333273697,-0.38970448008183,4,1,103,177,
34.1755701765824,-0.389795673078414,4,1,103,177,
34.1759188637543,-0.389731301551513,4,1,103,177,
34.177662299614,-0.389495272615356,4,1,103,177,
34.1778929695893,-0.389436265380277,4,1,103,177,
34.1772706970978,-0.389548915555967,4,1,103,177,
34.1771419510651,-0.389527458379773,4,1,103,177,
34.1770132050324,-0.389833223135544,4,1,103,177,
34.1766376957703,-0.389833223135544,4,1,103,177,
34.1764767632294,-0.389817130253933,4,1,103,177,
34.1756345495987,-0.390088027090202,4,1,103,177,
34.1752295360375,-0.390112166411836,4,1,103,177,
34.1746796831894,-0.389983423362384,4,1,103,177,
34.1745723948288,-0.389924416130728,4,1,103,177,
34.1745187506485,-0.390149716467541,4,1,103,177,
34.1755648121643,-0.390061205621652,4,1,103,177,
34.1764418945122,-0.389731301551513,4,1,103,177,
34.1769220099259,-0.389173414964477,4,1,103,177,
34.1765947804261,-0.389460404703768,4,1,103,177,
34.1775925621796,-0.384530486696124,4,1,103,177,
34.1777964100647,-0.384476843723771,4,1,103,177,
34.1745026573944,-0.384482208021013,4,1,103,177,
34.1764767632294,-0.38529221686715,4,1,103,177,
34.1765733227539,-0.385254927376517,4,1,103,177,
34.1774423584748,-0.384970619643332,4,1,103,177,
34.1776891217041,-0.385297841750506,4,1,103,177,
34.1776301131058,-0.385346120420999,4,1,103,177,
34.177656935196,-0.38541049198122,4,1,103,177,
34.1773672566223,-0.385287113157028,4,1,103,177,
34.1771634087372,-0.385335391827572,4,1,103,177,
34.1761602625656,-0.38560897095551,4,1,103,177,
34.1745616659928,-0.385560692286519,4,1,103,177,
34.174604581337,-0.385614335252052,4,1,103,177,
34.1748567089844,-0.385635792438169,4,1,103,177,
