"","workerID","precision","recall","fmeasure","num_annotations","dist","dist_cluster","num_workers","num_voters"
"44",2,0.810126582278481,0.271186440677966,0.406349206349206,158,0.008,0.005,1,1
"45",3,0.686206896551724,0.421610169491525,0.522309711286089,290,0.008,0.005,1,1
"46",4,0.915966386554622,0.230932203389831,0.368866328257191,119,0.008,0.005,1,1
"47",5,0.85576923076923,0.377118644067797,0.523529411764706,208,0.008,0.005,1,1
"48",6,0.89873417721519,0.451271186440678,0.600846262341326,237,0.008,0.005,1,1
"49",7,0.893617021276596,0.355932203389831,0.509090909090909,188,0.008,0.005,1,1
"50",8,0.745098039215686,0.402542372881356,0.522696011004127,255,0.008,0.005,1,1
"51",9,0.872881355932203,0.218220338983051,0.349152542372881,118,0.008,0.005,1,1
"52",10,0.940119760479042,0.332627118644068,0.491392801251956,167,0.008,0.005,1,1
"53",11,0.846153846153846,0.279661016949153,0.420382165605095,156,0.008,0.005,1,1
"54",12,0.727642276422764,0.379237288135593,0.498607242339833,246,0.008,0.005,1,1
"55",13,0.921348314606742,0.173728813559322,0.292335115864528,89,0.008,0.005,1,1
"56",14,0.934343434343434,0.391949152542373,0.552238805970149,198,0.008,0.005,1,1
"57",15,0.971751412429379,0.364406779661017,0.530046224961479,177,0.008,0.005,1,1
"58",16,0.923076923076923,0.152542372881356,0.261818181818182,78,0.008,0.005,1,1
"59",17,0.839344262295082,0.542372881355932,0.658944658944659,305,0.008,0.005,1,1
"60",18,0.802941176470588,0.578389830508475,0.672413793103448,340,0.008,0.005,1,1
"61",19,0.914572864321608,0.385593220338983,0.5424739195231,199,0.008,0.005,1,1
"62",20,0.871473354231975,0.588983050847458,0.702907711757269,319,0.008,0.005,1,1
"63",21,0.388349514563107,0.0847457627118644,0.139130434782609,103,0.008,0.005,1,1
"64",22,0.925373134328358,0.525423728813559,0.67027027027027,268,0.008,0.005,1,1
"65",23,0.610236220472441,0.328389830508475,0.426997245179063,254,0.008,0.005,1,1
"66",24,0.866935483870968,0.455508474576271,0.597222222222222,248,0.008,0.005,1,1
"67",25,0.728051391862955,0.720338983050847,0.724174653887114,467,0.008,0.005,1,1
"68",26,0.946808510638298,0.188559322033898,0.314487632508834,94,0.008,0.005,1,1
"69",27,0.0675675675675676,0.0105932203389831,0.0183150183150183,74,0.008,0.005,1,1
"70",28,0.927710843373494,0.163135593220339,0.277477477477477,83,0.008,0.005,1,1
"71",29,0.803571428571429,0.476694915254237,0.598404255319149,280,0.008,0.005,1,1
"72",30,0.0277777777777778,0.00423728813559322,0.00735294117647059,72,0.008,0.005,1,1
"73",31,0.935483870967742,0.122881355932203,0.217228464419476,62,0.008,0.005,1,1
"74",32,0.753246753246753,0.491525423728814,0.594871794871795,308,0.008,0.005,1,1
"75",33,0.685884691848907,0.73093220338983,0.707692307692308,503,0.008,0.005,1,1
"76",34,0.93063583815029,0.341101694915254,0.49922480620155,173,0.008,0.005,1,1
"77",35,0.814814814814815,0.51271186440678,0.629388816644994,297,0.008,0.005,1,1
"78",36,0.864457831325301,0.608050847457627,0.713930348258706,332,0.008,0.005,1,1
"79",37,0.74835886214442,0.72457627118644,0.736275565123789,457,0.008,0.005,1,1
"80",38,0.70575221238938,0.675847457627119,0.69047619047619,452,0.008,0.005,1,1
"81",39,0.656,0.347457627118644,0.454293628808864,250,0.008,0.005,1,1
"82",40,0.817241379310345,0.502118644067797,0.622047244094488,290,0.008,0.005,1,1
"83",41,0.745726495726496,0.739406779661017,0.742553191489362,468,0.008,0.005,1,1
"84",42,0.79375,0.269067796610169,0.401898734177215,160,0.008,0.005,1,1
"85",1,0.694736842105263,0.279661016949153,0.398791540785498,190,0.008,0.007,1,1
"86",2,0.810126582278481,0.271186440677966,0.406349206349206,158,0.008,0.007,1,1
"87",3,0.686206896551724,0.421610169491525,0.522309711286089,290,0.008,0.007,1,1
"88",4,0.915966386554622,0.230932203389831,0.368866328257191,119,0.008,0.007,1,1
"89",5,0.85576923076923,0.377118644067797,0.523529411764706,208,0.008,0.007,1,1
"90",6,0.89873417721519,0.451271186440678,0.600846262341326,237,0.008,0.007,1,1
"91",7,0.893617021276596,0.355932203389831,0.509090909090909,188,0.008,0.007,1,1
"92",8,0.745098039215686,0.402542372881356,0.522696011004127,255,0.008,0.007,1,1
"93",9,0.872881355932203,0.218220338983051,0.349152542372881,118,0.008,0.007,1,1
"94",10,0.940119760479042,0.332627118644068,0.491392801251956,167,0.008,0.007,1,1
"95",11,0.846153846153846,0.279661016949153,0.420382165605095,156,0.008,0.007,1,1
"96",12,0.727642276422764,0.379237288135593,0.498607242339833,246,0.008,0.007,1,1
"97",13,0.921348314606742,0.173728813559322,0.292335115864528,89,0.008,0.007,1,1
"98",14,0.934343434343434,0.391949152542373,0.552238805970149,198,0.008,0.007,1,1
"99",15,0.971751412429379,0.364406779661017,0.530046224961479,177,0.008,0.007,1,1
"100",16,0.923076923076923,0.152542372881356,0.261818181818182,78,0.008,0.007,1,1
"101",17,0.839344262295082,0.542372881355932,0.658944658944659,305,0.008,0.007,1,1
"102",18,0.802941176470588,0.578389830508475,0.672413793103448,340,0.008,0.007,1,1
"103",19,0.914572864321608,0.385593220338983,0.5424739195231,199,0.008,0.007,1,1
"104",20,0.871473354231975,0.588983050847458,0.702907711757269,319,0.008,0.007,1,1
"105",21,0.388349514563107,0.0847457627118644,0.139130434782609,103,0.008,0.007,1,1
"106",22,0.925373134328358,0.525423728813559,0.67027027027027,268,0.008,0.007,1,1
"107",23,0.610236220472441,0.328389830508475,0.426997245179063,254,0.008,0.007,1,1
"108",24,0.866935483870968,0.455508474576271,0.597222222222222,248,0.008,0.007,1,1
"109",25,0.728051391862955,0.720338983050847,0.724174653887114,467,0.008,0.007,1,1
"110",26,0.946808510638298,0.188559322033898,0.314487632508834,94,0.008,0.007,1,1
"111",27,0.0675675675675676,0.0105932203389831,0.0183150183150183,74,0.008,0.007,1,1
"112",28,0.927710843373494,0.163135593220339,0.277477477477477,83,0.008,0.007,1,1
"113",29,0.803571428571429,0.476694915254237,0.598404255319149,280,0.008,0.007,1,1
"114",30,0.0277777777777778,0.00423728813559322,0.00735294117647059,72,0.008,0.007,1,1
"115",31,0.935483870967742,0.122881355932203,0.217228464419476,62,0.008,0.007,1,1
"116",32,0.753246753246753,0.491525423728814,0.594871794871795,308,0.008,0.007,1,1
"117",33,0.685884691848907,0.73093220338983,0.707692307692308,503,0.008,0.007,1,1
"118",34,0.93063583815029,0.341101694915254,0.49922480620155,173,0.008,0.007,1,1
"119",35,0.814814814814815,0.51271186440678,0.629388816644994,297,0.008,0.007,1,1
"120",36,0.864457831325301,0.608050847457627,0.713930348258706,332,0.008,0.007,1,1
"121",37,0.74835886214442,0.72457627118644,0.736275565123789,457,0.008,0.007,1,1
"122",38,0.70575221238938,0.675847457627119,0.69047619047619,452,0.008,0.007,1,1
"123",39,0.656,0.347457627118644,0.454293628808864,250,0.008,0.007,1,1
"124",40,0.817241379310345,0.502118644067797,0.622047244094488,290,0.008,0.007,1,1
"125",41,0.745726495726496,0.739406779661017,0.742553191489362,468,0.008,0.007,1,1
"126",42,0.79375,0.269067796610169,0.401898734177215,160,0.008,0.007,1,1
